image_id,error_space,error_type,error_rate,seed,bpp,psnr,ssim,ms_ssim,lpips,decode_failed
house,bitstream,burst,1.0,232,0.1231689453125,8.101713180541992,0.14388981461524963,0.17574769258499146,0.9547305107116699,False
house,bitstream,burst,1.0,233,0.1231689453125,9.453088760375977,0.11621306091547012,0.16861872375011444,0.8243933916091919,False
house,bitstream,burst,1.0,234,0.1231689453125,10.441741943359375,0.15724919736385345,0.13173671066761017,1.0319591760635376,False
house,bitstream,burst,1.0,235,0.1231689453125,7.353401184082031,0.12781411409378052,0.14073839783668518,0.9444090723991394,False
house,bitstream,burst,2.0,231,0.1231689453125,11.147786140441895,0.15476638078689575,0.2080107480287552,0.6778823733329773,False
house,bitstream,burst,2.0,232,0.1231689453125,9.195550918579102,0.15036438405513763,0.15238657593727112,0.9724574089050293,False
house,bitstream,burst,2.0,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,burst,2.0,234,0.1231689453125,10.43639087677002,0.15349839627742767,0.11992990225553513,1.0184417963027954,False
house,bitstream,burst,2.0,235,0.1231689453125,10.461195945739746,0.1458502560853958,0.0875273197889328,1.0093098878860474,False
house,bitstream,burst,5.0,231,0.1231689453125,7.859988689422607,0.14899584650993347,0.12236355990171432,0.9331015348434448,False
house,bitstream,burst,5.0,232,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,burst,5.0,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,burst,5.0,234,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,burst,5.0,235,0.1231689453125,0.0,0.0,0.0,1.0,True
flower,bitstream,burst,0.0,231,0.1256103515625,26.811920166015625,0.8323473334312439,0.9578641653060913,0.0496918149292469,False
flower,bitstream,burst,0.0,232,0.1256103515625,26.82564926147461,0.8313407897949219,0.9575514197349548,0.05041273310780525,False
flower,bitstream,burst,0.0,233,0.1256103515625,26.70932388305664,0.8304406404495239,0.9575329422950745,0.05073389410972595,False
flower,bitstream,burst,0.0,234,0.1256103515625,26.760757446289062,0.8312534093856812,0.9582123756408691,0.048990096896886826,False
flower,bitstream,burst,0.0,235,0.1256103515625,26.712553024291992,0.8317452073097229,0.9580302238464355,0.04972176253795624,False
flower,bitstream,burst,0.1,231,0.1256103515625,7.597310543060303,0.19296203553676605,0.11070971935987473,0.8179948925971985,False
flower,bitstream,burst,0.1,232,0.1256103515625,19.95151138305664,0.6531977653503418,0.829063355922699,0.21623638272285461,False
flower,bitstream,burst,0.1,233,0.1256103515625,21.41507339477539,0.6964007616043091,0.8702353835105896,0.16785898804664612,False
