codec,image_id,error_type,error_rate,seed,bpp,psnr,ssim,ms_ssim,lpips,decode_failed
JPEG2000,flower,random,0.5,233,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,0.5,234,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,0.5,235,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,1.0,231,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,1.0,232,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,1.0,233,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,1.0,234,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,1.0,235,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,2.0,231,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,2.0,232,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,2.0,233,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,2.0,234,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,2.0,235,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,5.0,231,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,5.0,232,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,5.0,233,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,5.0,234,0.12009876543209877,0.0,0.0,0.0,1.0,True
