image_id,error_space,error_type,error_rate,seed,bpp,psnr,ssim,ms_ssim,lpips,decode_failed
flower,bitstream,random,2.0,231,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,2.0,232,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,2.0,233,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,2.0,234,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,2.0,235,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,5.0,231,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,5.0,232,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,5.0,233,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,5.0,234,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,5.0,235,0.1256103515625,0.0,0.0,0.0,1.0,True
